Marca,Modelo,Version,Potencia,Combustible,Consumo,Plazas
KIA,PV5,KIA PV5 Cargo L2H1 Long Range Essential,163 CV,Eléctrico,"19 kWh/100",3
OMODA,9,OMODA 9 SHS PREMIUM 1.5 TGDI 3DHT 395kW (537CV) AWD,537 CV,Híbrido enchufable,"1,7 L/100",5
JAECOO,8,JAECOO 8 PHEV EXCLUSIVE 1.5 TGDI 428CV 7 plazas,428 CV,Híbrido enchufable,"2,1 L/100",7
OPEL,COMBO E,Opel Combo-e Cargo M 800kg Eléctrico 100kW Batería 5,136 CV,Eléctrico,"19 kWh/100",3
CITROEN,E BERLINGO,Citroën ë-Berlingo ë-Berlingo Van M Carga Incr 100kW 50kWh,136 CV,Eléctrico,"19 kWh/100",3
BMW,IX1,BMW iX1 eDrive20,204 CV,Eléctrico,"18,5 kWh/100",5
MERCEDES BENZ,GLC,Mercedes-Benz GLC GLC 220 d 4MATIC,197 CV,Diésel,"5,5 L/100",5
MERCEDES BENZ,CLA,Mercedes-Benz CLA CLA 250+ con tecnología EQ,272 CV,Eléctrico,"13,1 kWh/100",5
MERCEDES BENZ,GLC COUPE,Mercedes-Benz GLC Coupé GLC 300 de 4MATIC,333 CV,Híbrido enchufable,"1,7 L/100",5
MERCEDES BENZ,GLB,Mercedes-Benz GLB GLB 250+,272 CV,Eléctrico,"15,8 kWh/100",7
MERCEDES BENZ,GLC,Mercedes-Benz GLC GLC 200 4MATIC,204 CV,Híbrido,"7,1 L/100",5
MERCEDES BENZ,CLA,Mercedes-Benz CLA CLA 250+ SB con tecnología EQ,272 CV,Eléctrico,"13,1 kWh/100",5
MERCEDES BENZ,GLC,Mercedes-Benz GLC GLC 400 4MATIC con tecnología EQ,489 CV,Eléctrico,"16 kWh/100",5
MERCEDES BENZ,GLE COUPE,Mercedes-Benz GLE Coupé,286 CV,Diésel,"7,5 L/100",5
MASERATI,GRECALE,Maserati Grecale L4 MHEV 300CV AWD,300 CV,Híbrido,"8,8 L/100",5
MERCEDES BENZ,CLASE GLE,Mercedes-Benz Clase GLE GLE 350 de 4MATIC,320 CV,Híbrido enchufable,"1,3 L/100",5
