provider,audience,source_url,external_id,brand,model,version,status,body_type,fuel,transmission,power,emissions_label,doors,seats,color,annual_km,duration_months,monthly_price_ex_vat,monthly_price_inc_vat,advertised_price,advertised_tax_label,vat_included_in_advertised_price,initial_payment_eur,availability,coverage,verified_at
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-mazda-cx-5,455,MAZDA,CX-5,2.5 e-SKYACTIV-G 141CV FWD AUT CENTRE-LINE,NUEVO,SUV,HÍBRIDO GASOLINA,AUTOMÁTICO,141 CV,ECO,5,5,ARTIC WHITE,30000,36,519.43,628.51,519.43,Impuestos incluidos,false,0,\u00daltimas unidades en stock,,2026-09-09T06:44:04.584Z
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-mazda-cx-5,455,MAZDA,CX-5,2.5 e-SKYACTIV-G 141CV FWD AUT CENTRE-LINE,NUEVO,SUV,HÍBRIDO GASOLINA,AUTOMÁTICO,141 CV,ECO,5,5,ARTIC WHITE,30000,48,506.17,612.47,506.17,Impuestos incluidos,false,0,\u00daltimas unidades en stock,,2026-09-09T06:44:05.064Z
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-mazda-cx-5,455,MAZDA,CX-5,2.5 e-SKYACTIV-G 141CV FWD AUT CENTRE-LINE,NUEVO,SUV,HÍBRIDO GASOLINA,AUTOMÁTICO,141 CV,ECO,5,5,ARTIC WHITE,30000,60,493.84,597.55,493.84,Impuestos incluidos,false,0,\u00daltimas unidades en stock,,2026-09-09T06:44:05.490Z
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-byd-atto,414,BYD,ATTO,ATTO 2 DM-i,,,HÍBRIDO ENCHUFABLE GASOLINA,AUTOMÁTICO,,CERO,5,5,TIME GREY,10000,60,405,490.05,405,Impuestos incluidos,false,0,\u00daltimas unidades en stock,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",2026-09-09T06:44:07.445Z
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-byd-atto,414,BYD,ATTO,ATTO 2 DM-i,,,HÍBRIDO ENCHUFABLE GASOLINA,AUTOMÁTICO,,CERO,5,5,TIME GREY,10000,36,453,548.13,453,Impuestos incluidos,false,0,\u00daltimas unidades en stock,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",2026-09-09T06:44:06.555Z
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-byd-atto,414,BYD,ATTO,ATTO 2 DM-i,,,HÍBRIDO ENCHUFABLE GASOLINA,AUTOMÁTICO,,CERO,5,5,TIME GREY,10000,48,423,511.83,423,Impuestos incluidos,false,0,\u00daltimas unidades en stock,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",2026-09-09T06:44:07.033Z
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-byd-atto,414,BYD,ATTO,ATTO 2 DM-i,,,HÍBRIDO ENCHUFABLE GASOLINA,AUTOMÁTICO,,CERO,5,5,TIME GREY,15000,36,468,566.28,468,Impuestos incluidos,false,0,\u00daltimas unidades en stock,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",2026-09-09T06:44:08.036Z
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-byd-atto,414,BYD,ATTO,ATTO 2 DM-i,,,HÍBRIDO ENCHUFABLE GASOLINA,AUTOMÁTICO,,CERO,5,5,TIME GREY,15000,48,437,528.77,437,Impuestos incluidos,false,0,\u00daltimas unidades en stock,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",2026-09-09T06:44:08.432Z
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-byd-atto,414,BYD,ATTO,ATTO 2 DM-i,,,HÍBRIDO ENCHUFABLE GASOLINA,AUTOMÁTICO,,CERO,5,5,TIME GREY,15000,60,424,513.04,424,Impuestos incluidos,false,0,\u00daltimas unidades en stock,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",2026-09-09T06:44:08.845Z
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-byd-atto,414,BYD,ATTO,ATTO 2 DM-i,,,HÍBRIDO ENCHUFABLE GASOLINA,AUTOMÁTICO,,CERO,5,5,TIME GREY,20000,36,490,592.9,490,Impuestos incluidos,false,0,\u00daltimas unidades en stock,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",2026-09-09T06:44:09.244Z
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-byd-atto,414,BYD,ATTO,ATTO 2 DM-i,,,HÍBRIDO ENCHUFABLE GASOLINA,AUTOMÁTICO,,CERO,5,5,TIME GREY,20000,48,468,566.28,468,Impuestos incluidos,false,0,\u00daltimas unidades en stock,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",2026-09-09T06:44:11.040Z
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-byd-atto,414,BYD,ATTO,ATTO 2 DM-i,,,HÍBRIDO ENCHUFABLE GASOLINA,AUTOMÁTICO,,CERO,5,5,TIME GREY,20000,60,452,546.92,452,Impuestos incluidos,false,0,\u00daltimas unidades en stock,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",2026-09-09T06:44:11.509Z
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-byd-atto,414,BYD,ATTO,ATTO 2 DM-i,,,HÍBRIDO ENCHUFABLE GASOLINA,AUTOMÁTICO,,CERO,5,5,TIME GREY,25000,36,523,632.83,523,Impuestos incluidos,false,0,\u00daltimas unidades en stock,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",2026-09-09T06:44:12.029Z
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-byd-atto,414,BYD,ATTO,ATTO 2 DM-i,,,HÍBRIDO ENCHUFABLE GASOLINA,AUTOMÁTICO,,CERO,5,5,TIME GREY,25000,48,496,600.16,496,Impuestos incluidos,false,0,\u00daltimas unidades en stock,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",2026-09-09T06:44:12.434Z
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-byd-atto,414,BYD,ATTO,ATTO 2 DM-i,,,HÍBRIDO ENCHUFABLE GASOLINA,AUTOMÁTICO,,CERO,5,5,TIME GREY,25000,60,474,573.54,474,Impuestos incluidos,false,0,\u00daltimas unidades en stock,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",2026-09-09T06:44:13.048Z
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-byd-atto,414,BYD,ATTO,ATTO 2 DM-i,,,HÍBRIDO ENCHUFABLE GASOLINA,AUTOMÁTICO,,CERO,5,5,TIME GREY,30000,36,546,660.66,546,Impuestos incluidos,false,0,\u00daltimas unidades en stock,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",2026-09-09T06:44:13.631Z
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-byd-atto,414,BYD,ATTO,ATTO 2 DM-i,,,HÍBRIDO ENCHUFABLE GASOLINA,AUTOMÁTICO,,CERO,5,5,TIME GREY,30000,48,517,625.57,517,Impuestos incluidos,false,0,\u00daltimas unidades en stock,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",2026-09-09T06:44:14.059Z
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-byd-atto,414,BYD,ATTO,ATTO 2 DM-i,,,HÍBRIDO ENCHUFABLE GASOLINA,AUTOMÁTICO,,CERO,5,5,TIME GREY,30000,60,507,613.47,507,Impuestos incluidos,false,0,\u00daltimas unidades en stock,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",2026-09-09T06:44:14.505Z
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-volkswagen-tiguan,345,VOLKSWAGEN,TIGUAN,"""MÁS"" 1.5 eTSI 110KW 150CV DSG 7vel",NUEVO,SUV,GASOLINA,AUTOMÁTICO,,ECO,5,5,BLANCO Y PUNTO,10000,60,410.64,496.87,410.64,Impuestos incluidos,false,0,\u00daltimas unidades en stock,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",2026-09-09T06:44:16.634Z
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-volkswagen-tiguan,345,VOLKSWAGEN,TIGUAN,"""MÁS"" 1.5 eTSI 110KW 150CV DSG 7vel",NUEVO,SUV,GASOLINA,AUTOMÁTICO,,ECO,5,5,BLANCO Y PUNTO,10000,36,442.71,535.68,442.71,Impuestos incluidos,false,0,\u00daltimas unidades en stock,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",2026-09-09T06:44:15.550Z
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-volkswagen-tiguan,345,VOLKSWAGEN,TIGUAN,"""MÁS"" 1.5 eTSI 110KW 150CV DSG 7vel",NUEVO,SUV,GASOLINA,AUTOMÁTICO,,ECO,5,5,BLANCO Y PUNTO,10000,48,424.66,513.84,424.66,Impuestos incluidos,false,0,\u00daltimas unidades en stock,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",2026-09-09T06:44:16.056Z
M-Automoción / M-Renting,autonomo,https://m-renting.com/oferta-renting-autonomo-volkswagen-tiguan,345,VOLKSWAGEN,TIGUAN,"""MÁS"" 1.5 eTSI 110KW 150CV DSG 7vel",NUEVO,SUV,GASOLINA,AUTOMÁTICO,,ECO,5,5,BLANCO Y PUNTO,15000,36,464.14,561.61,464.14,Impuestos incluidos,false,0,\u00daltimas unidades en stock,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",2026-09-09T06:44:17.083Z
